^:<name=gwgz footnote=ck nocheck=true>	note
2.33	此四詩者，明有忠信之行，雖薄物皆可用也。 ○引詩作結。以「蘩」、「蘋」、「葦」、「酌」等字，與「澗」、「溪」、「沼」、「沚」十六字相映照。而仍以「忠信」字關應「信不由中」，風韻悠然。
3.1	隱公三年 左傳
3.2	Main|石碏諫寵州吁
3.3	東宮，太子宮也。得臣，齊太子名。 ○敍莊姜與太子同母，表其所生之貴也。與下嬖人緊照。
3.4	美于色，賢于德，而不見答。終以無子。 ○四字深妙。
3.5	去聲。
3.6	《碩人》，《國風》篇名。國人以莊姜美而不見答，作《碩人》之詩以閔之。 ○引證冷雋。
3.7	規。
3.8	弟。
3.9	嬀，陳姓。厲，戴，皆謚也。妻之妹從妻來者曰娣。桓公雖非正出，然爲正嫡所子，自然當立。 ○莊姜以爲己子，應無子句。
3.10	莊公嬖妾，生子名曰州吁。賤而得幸曰嬖。
3.11	去聲。
3.12	母嬖故有寵。「寵」字是一篇主腦。伏下「六逆」禍根。
3.13	以寵故弗禁。
3.14	烏故反。
3.15	縱其好兵，必致禍，故惡之。 ○以上敘莊姜賢美而不見答。所寵者乃嬖人之子州吁，衛國之禍自此始矣，以起下文。
3.16	鵲， ○衛大夫。
3.17	方，矩則也。《易》曰：「義以方外。」納，使之入也。邪者，義之反。指好兵言。
3.18	驕、奢、淫、佚，乃邪之所自起。而所以有此四者，由寵祿之過。祿者，寵之實也。 ○以上推言寵之流弊，適所以納子於邪，實非愛子也。
3.19	先拗一筆。
3.20	不定其位，勢必緣寵而爲禍。○四句與欲與大叔數句，筆法相同。
3.21	扶。
3.22	軫。
3.23	去聲。
3.24	眕，安重貌。言寵愛而不驕肆，驕肆而能降心，降心而不怨恨，怨恨而能安重，如此者少也。 ○此就人常情上，申言所自邪之義，以明州吁之必爲禍也。
3.25	以下推開一步，就莊姜，桓公與嬖人州吁，兩兩相對說。
3.26	以爵言。
3.27	去聲。
3.28	掌， ○以齒言。
3.29	去聲。
3.30	以地言。
3.31	以情言。
3.32	以勢言。
3.33	以德言。
3.34	此六者，皆逆理之事。
3.35	以在國言。
3.36	以在家言。
3.37	此六者，皆順理之事。
3.38	今寵州吁，其于六逆，則賤妨貴，少陵長。其于六順，則弟不敬。是去順而效逆矣。
3.39	兩「禍」字，應前「階之爲禍」。「君人」以下十六字，一氣三轉。詞意愷切。
3.40	莊公不聽。
3.41	應弗禁。
3.42	石厚不聽。
3.43	謂告老致仕。 ○夫以石碏之賢，諫旣不行于君，令復不行于子，命也。夫其見機而作，不俟終日，智矣哉。
4.1	隱公五年 左傳
4.2	Main|臧僖伯諫觀魚
4.3	同「漁」。
4.4	如，往也。棠，魯之遠地。隱公將往棠地陳魚而觀之。
4.5	公子彄。
4.6	物，鳥獸之屬。講，習也。大事，謂祀與戎也。材，謂皮革齒牙，骨角毛羽也。器用，軍國之資。舉，行也。此言君人之道，以軍國祀戎爲重，以遊觀宴樂爲輕。 ○提出「君」字作主。三句，是一篇之綱領。
4.7	一定者，爲軌。當然者，爲物。 ○承上「君」字轉下，見得君之所舉，關係甚大。「軌」字承「凡物」句。「物」字承「其材」句。觀下文自見。
4.8	鐸。
4.9	軌有差等曰量。
4.10	物有華飾曰采。
4.11	器。
4.12	反收四句，以明「則君不舉」之故。
4.13	搜。
4.14	先上聲。
4.15	蒐、苗、獮、狩，皆獵名。蒐，搜索，擇取不孕者。苗，爲苗除害也。獮，殺也。以殺爲名，順秋氣也。狩，圍守也。冬物畢成，獲則取之，無所擇也。
4.16	四時講武，各因農力之閒。
4.17	雖四時講武，猶復三年而大習。出曰治兵，入曰振旅。振，整也。旅，衆也。謂整衆而還也。
4.18	歸乃告至於廟而飲。
4.19	上聲。
4.20	以計軍徒器械及所獲之數。
4.21	昭，著也。君、大夫、士，車服旌旗，各有文章。
4.22	田獵之制，貴者先殺。所以明君，大夫，士，庶人之貴賤。
4.23	辨上下之等第行列。坐作進退皆是也。
4.24	去聲。
4.25	掌。 ○出則少者在前，趨敵之義；還則少者在後，殿師之義。所謂順也。
4.26	皆所以講習上下之威儀也。 ○此一段，應「講大事」句。
4.27	謂不足登於俎，以供祭祀。
4.28	謂不足登於法度之器，以爲采飾。
4.29	石。
4.30	君不親射。此古先王之法制。 ○此一段，應「備器用」句。
4.31	山林，謂材木樵薪之類。川澤，謂菱芡魚鼈之類。所資取以爲器用者，是賤臣皁隸之事，小臣有司之職，非君之所親也。 ○此一段，應「君不舉」句。」
4.32	言欲按行邊境，不專爲觀魚也。 ○飾說。
4.33	陳，設張也。公大設捕魚之具而觀之。
4.34	矢，亦陳也。
4.35	非禮便是亂政。棠實他境，故曰遠地。
5.1	隱公十一年 左傳
5.2	Main|鄭莊公戒飭守臣
5.3	附。
5.4	三國之師，俱附于許之城下。
5.5	謀。
5.6	胡。
5.7	蝥弧，旗名。
5.8	鄭大夫公孫閼。
5.9	食。
5.10	恨考叔奪其車，故射之。
5.11	顛，墜也。考叔墜而死。
5.12	鄭大夫。
5.13	周，徧也。麾，招也。蝥弧，鄭伯旗，故呼曰「君登」。
5.14	鄭師見君之旗，故盡登城。
5.15	齊不取。
5.16	同供。 ○謂許不供職貢。
5.17	預。
5.18	魯不取。
5.19	鄭莊始以三國之師同克許。難自專功，而佯讓齊遜魯。及齊、魯交讓，而鄭莊因受焉，是齊、魯墮鄭術中也。蓋鄭與許爲鄰，莊公眈眈虎視已久，一日得許，心滿意足，又欲掩飾其貪許狡謀，故下文逐層商量，逐步打算，遂成曲曲折折，裊裊亭亭之筆。
5.20	許莊之弟。
5.21	偏，邊鄙也。 ○己弟叔段何在，而愛及他人之弟。特借此布置一番，是奸雄手段。
5.22	逞，快也。言許禍降自天，非我欲伐許也。
5.23	同姓羣臣。
5.24	同「供」。
5.25	共，給也。億，安也。 ○就處常推出一層。
5.26	叔段。
5.27	餬口，寄食也。段出奔共國，故云寄食于四方。是怕人說，自開口先說。 ○就處變推出一層。
5.28	以上追前，以下料後，只此句點題。
5.29	鄭大夫，公孫獲。
5.30	伏下。
5.31	以禮，如人以恩禮相遇。悔禍，悔前日之禍許，而轉而佑之。根上「天禍許國」來。 ○十五字作一句讀。若者，逆料之詞。是說在自己身後者，明明自己在時，天未必其悔禍于許也。下乃緊承悔禍意，作兩層寫。
5.32	同「婚」。
5.33	無寧，猶寧無也。茲，此也。言寧無此許公復奉許之社稷。唯我鄭國之有所請告于許，如舊昬姻，許其能降心以從鄭也。 ○三十字作一氣讀。就有益于鄭處，推出一層。
5.34	福。
5.35	因。
5.36	言無長他族類，迫近居此，以與我鄭國爭此許地。吾子孫將顛覆危亡，救之不暇，而況能禋祀許之山川乎。精意以享曰禋。或謂「他族」是暗指齊、魯，似極有照應。但此是說在自己身後者，恐非專指齊、魯也，玩「子孫」二字可見。 ○三十三字作一氣讀。就有害鄭處，推出一層。
5.37	居許東偏。
5.38	去聲。 ○應許公復奉其社稷。
5.39	語。
5.40	圉，邊陲也。應「無滋他族實偪處此」。 ○三句總收上文。
5.41	而，汝也。
5.42	應前得沒于地。
5.43	乃，亦汝也。以無財物之累，可以速於去許。 ○亦說在自己身後者，明明自己在時，汝一日不可去許也。
5.44	新邑，河南新鄭也。舊鄭在京兆。莊公之父武公，始遷邑于河南。
5.45	周自東遷之後，日見衰微。
5.46	序，班列也。周序先同姓，後異姓。王室旣卑，故子孫日失其序。
5.47	泰。
5.48	印。
5.49	大岳，神農之後。堯，四岳也。胤，嗣也。見許非周子孫，後未可量。
5.50	王室旣卑，子孫失序，是天厭周德。而鄭亦周之子孫，豈能與許爭此地乎。此明公孫獲不可久居許之意。 ○已上兩邊戒飭之詞。滿口假仁假義，只爲自家掩飾。絕不厭其詞之煩。快筆英鋒，文中僅有。
5.51	于是乎有禮者，見鄭莊一生無禮，唯此若有禮耳。
5.52	四句，是禮之用。
5.53	刑，法也。
5.54	捨。
5.55	鐸。
5.56	去聲。
5.57	六句，是說鄭莊用禮。
5.58	又斷一句。言從外面看去。真可謂知禮矣。
6.1	桓公二年  左傳
6.2	Main|臧哀伯諫納郜鼎
6.3	告。
6.4	泰。
6.5	宋華督弒殤公，恐諸侯討己，故以郜國所造之鼎賂魯。桓公至是取所賂之鼎于宋，納于大廟。 ○曰「取」、曰「納」，書法凜然。
6.6	受弒逆者之賂器，以汙宗廟，非禮之甚也。 ○斷一句。
6.7	魯大夫，僖伯之子。
6.8	言人君者，將昭明善德，閉塞邪違，以顯示百官，如日月之臨照焉，猶恐不能世守而弗失。故復以其德之最善者，昭著于物，以垂示子孫。 ○「昭德」、「塞違」竝提，是一篇主意。然「昭德」正所以「塞違」也，故下歷言「昭德」之實。
6.9	清廟，肅然清淨之廟也。茅屋，以茅飾屋也。
6.10	活。
6.11	大路，祀天車，朴素無飾。越席，結草爲席也。
6.12	泰。
6.13	大羹，大古之羹，肉汁也。不致，謂無鹽梅之和也。
6.14	嗣。
6.15	作。 ○黍稷曰粢。鑿，精米也。一石舂爲八斗。
6.16	儉約不敢奢侈。 ○「昭令德以示子孫者」一。
6.17	挺。 ○袞，畫衣。冕，冠也。黻，蔽膝也。珽，玉笏也。
6.18	璧。
6.19	昔。 ○帶，革帶。裳，下衣。幅，今之行縢，卽裹腳也。舄，複履也。
6.20	躭上聲。
6.21	宏。
6.22	延， ○衡，維持冠者。紞，冠之垂者。紘，纓從下而上者。綖，冠上覆者。
6.23	尊卑各有制度。 ○「昭令德以示子孫者」二。
6.24	律。
6.25	丙。
6.26	卜上聲， ○藻率，以韋爲之，所以藉玉也。佩刀之鞘，上飾曰鞞，下飾曰鞛。
6.27	盤。
6.28	畱。
6.29	鞶，大帶。厲，大帶之垂者。游，旌之末垂者。纓，馬飾。
6.30	尊卑各有等數。 ○昭令德以示子孫者三。
6.31	火，畫火也。龍，畫龍也。黑與白謂之黼，黑與青謂之黻。龍，畫于衣。火黼黻，繡于裳。
6.32	上下各有文章。 ○「昭令德以示子孫」者四。
6.33	車服器械之有五色，皆以比象天地四方。
6.34	大小各有物色。 ○「昭令德以示子孫者」五。
6.35	揚。
6.36	四者皆鈴類，钖在馬額，鸞在鑣，和在衡，鈴在旂。
6.37	四者齊聲，自然節奏。 ○「昭令德以示子孫」者六。
6.38	三辰，日月星也。畫于旂旗。交龍爲旂，熊虎爲旗。
6.39	旌旗燦爛，象天之明。 ○「昭令德以示子孫」者七。
6.40	登降，謂有損益。紀，維也。發，揚也。紀律，紀綱、法律也。 ○總「昭德」作一收。戒懼而不敢易紀律，卽所以塞違也。
6.41	今受賂立督，是不昭德而滅德，不塞違而立違。
6.42	同「置」。
6.43	寘，猶納也。
6.44	象，效尤也。誅，責也。 ○不可納者一。
6.45	由百官之違邪。
6.46	謂寵臣之受賄賂，章明而無所忌憚也。
6.47	大廟，百官助祭之所。章明昭著，莫過于此。 ○不可納者二。
6.48	同洛。
6.49	九鼎，夏禹所鑄。三代相傳，以爲有國之寶。武王克商，遷九鼎于成周之雒邑。
6.50	義士，伯夷之屬。
6.51	其見非于義士必甚。 ○不可納者三。 ○歷言滅德立違之失，以見賂鼎當速出之于廟也。
6.52	仍寘大廟。
6.53	大夫官。
6.54	卽哀伯。
6.55	僖伯諫隱觀魚。其子哀伯諫桓納鼎。積善之家，必有餘慶，故曰有後于魯。
6.56	桓公雖滅德立違，哀伯惓惓不忘諫之以昭德。 ○「昭德塞違」總結。
7.1	桓公六年  左傳
7.2	Main|季梁諫追楚師
7.3	隨，漢東姬姓國。
7.4	委。
7.5	楚大夫。
7.6	使之求平于隨，詐也。
7.7	瑕，地名。楚軍于此，以待隨之報。
7.8	去聲。
7.9	少師，隨大夫。董成，主行成之事。
7.10	楚大夫。
7.11	言不得志于漢東，是我失策使然。
7.12	去聲。
7.13	張，侈大也。楚之失策，正坐此患，故不能得志。下乃爲楚畫策。
7.14	張則不懼，離則不協，楚然後可以得志，故曰利。
7.15	隨之少師，素自侈大。
7.16	雷。
7.17	請藏其精兵，示以羸弱之卒，使少師忽楚，而愈自侈大。 ○三張字，呼應緊峭。
7.18	律。
7.19	疽。
7.20	楚大夫。
7.21	隨賢臣。
7.22	言季梁在彼必諫，雖羸師無益于楚。
7.23	言不徒爲今日計。且隨君寵少師，未必聽季梁之言。
7.24	毁軍，羸師也。王從伯比之計。
7.25	一句喝破毁軍之詐。
7.26	小有道，大淫亂，然後小能敵大。
7.27	忠民信神，是一篇主意。 ○承道。
7.28	祝史正辭，謂祝官史官，實其言辭，而不欺誑鬼神。 ○又承忠信。
7.29	是無利民之忠。
7.30	矯舉，謂詐稱功德以告鬼神。 ○是無正辭之信。
7.31	臣不知其小之可以敵大也。此斷言楚不可追之意。
7.32	全。
7.33	突。
7.34	成。
7.35	牲，牛羊豕也。牷，純色完全也。腯，肥貌。黍稷曰粢。在器曰盛。 ○上兼舉忠民信神。隨侯單說信神，一邊已忘卻忠民了。故下歸重民爲神之主上。
7.36	信神只在忠民上看出。故下三告，皆關民上。成民，指養與教言。
7.37	祝史奉牲以告神，下倣此。
7.38	博，廣也。碩，大也。言是牲廣大而肥充。 ○告神只一句。下倣此。
7.39	告神以「博碩肥腯」者，謂民力之普徧安存，所以能如此也。
7.40	休去聲。
7.41	促。
7.42	裸。
7.43	瘯蠡，疥癬也。三句俱承民力普存說。唯民力之普存，故其所養之畜，蕃大而無疥癬，咸備而不闕失。 ○答上「牲牷肥腯」句。
7.44	以善敬之心，將其旨酒。
7.45	答上「粢盛豐備」句。「酒醴」一段是補筆。
7.46	犧牲粢盛酒醴，所以謂之馨香者，乃民德之馨香，無讒諛邪慝故也。 ○總一筆，答上「何則不信」句。 ○內用七個「謂」字、七個「也」字，頓挫生姿。末「所謂馨香」一句，直與上「所謂道」一句呼應。
7.47	養以成民。
7.48	九族，上至高祖，下及玄孫。 ○教以成民。
7.49	因。
7.50	精意以享曰禋。 ○致力於神。
7.51	謂祭則受福，戰則必克也。
7.52	應「夫民，神之主」句。
7.53	收完上文。
7.54	去聲。 ○修政，指忠信而言。兄弟之國，謂漢東姬姓小國。言當與之親而協，不可與之棄而離，庶免於楚國之難也。 ○又找一筆。与鬬伯比之意暗合。妙。
7.55	應「懼」字結。
8.1	莊公十年  左傳
8.2	Main|曹劌論戰
8.3	貴， ○魯人。
8.4	現， ○請見莊公。
8.5	去聲。
8.6	肉食，謂在位有祿者。間，猶與也。言在位者自能謀之，汝又何與其謀焉。
8.7	肉食者所見鄙陋，其謀未能遠大也。 ○「遠謀」二字是一篇關眼。
8.8	問何恃以與齊戰。 ○問得峭。
8.9	衣食二者，必分之凍餒之人，或者感吾之德，而可以戰乎。
8.10	分惠未能徧及，民心不肯從上所使，未可恃以爲戰。
8.11	犧牲，祭牲也。玉，蒼璧黃琮之類。帛，幣也。此皆禮神之物。言祭祀之禮，不敢有加于舊，而祝史告神，必以誠信，或者感格神明，而可以戰乎。
8.12	一時之小信，未能感孚于神。而神亦弗肯降之以福，未可恃以爲戰。
8.13	小獄，爭訟也。大獄，殺傷也。情，實也。言小大之獄，雖不能明察，然必盡己之心以求其實，或者獄無寃枉，而可以戰乎。
8.14	察獄以情，不使有枉，是能盡己之心，亦忠之一端也。君能盡心于民，則民宜盡心于君，庶可以一戰。 ○「可以一戰」，緊照「問何以戰」。一「可」字，又與下四「可」字相應。
8.15	去聲。 ○若與齊戰，則請從行。 ○「請從」，與上「請見」相應。
8.16	去聲。 ○乘，兵車也。
8.17	酌， ○長勺，地名。
8.18	公欲鳴鼓以進兵。
8.19	大崩曰敗績。
8.20	公欲馳車而逐齊兵。 ○「將鼓」、「將馳」，與上「將戰」相應。
8.21	轍，車跡也。軾，車前橫木。
8.22	兩「未可」，兩「可矣」，突兀相應。
8.23	公問劌不鼓，及下視、登望之故。 ○又與「問何以戰」相應。
8.24	言所以必待齊人三鼓之故。 ○未戰論忠，將戰論氣，肉食人見不到此。
8.25	言所以下視登望之故。 ○「克之」、「逐之」，作兩樣寫法。筆墨精采。
9.1	僖公四年  左傳
9.2	Main|齊桓公伐楚盟屈完
9.3	會。
9.4	無鐘鼓曰侵，有鐘鼓曰伐。民逃其上曰潰。 ○看齊來楚踪跡，便不正大。
9.5	牛走順風，馬走逆風，兩不相及，喻齊楚不相干也。
9.6	問得冷雋。絕不以齊爲意。妙。
9.7	邵。
9.8	召康公，周太保召公奭也。太公呂望，齊始封之君也。
9.9	汝。
9.10	五侯，五等諸侯。九伯，九州伯長。 ○一援王命，破「不相及」句。
9.11	第， ○履，所踐履之地。穆陵、無棣，皆齊境。言其所賜之履，不限地界也。 ○二宣賜履，破「涉吾地」句。
9.12	供。
9.13	包，裹束也。茅，菁茅也。《禹貢》：「荊州貢菁茅。」縮酒，束茅立之祭前，而灌鬯酒其上，象神飲之也。徵，問也。昭王，成王孫也。南巡狩，渡漢水，船壞而溺死。 ○三舉楚罪，破「何故」句。
9.14	昭王時，漢水非楚境，故不受罪。 ○管仲問罪之詞，原開一條生路，故對便一認一推，恰好。「問諸水濱」一語，近謔。
9.15	刑， ○陘，楚地。潁州召陵縣南有陘亭。
9.16	楚大夫。
9.17	如，往也。使往齊師觀兵勢。
9.18	屈完請盟故也。楚不服罪，故師進。楚旣請盟，故師退。
9.19	去聲。
9.20	乘，共載也。 ○寫齊總不正大。
9.21	去聲。
9.22	去聲。
9.23	不穀，諸侯謙稱。言諸侯之附從，非爲我一人，乃是尋我先君之好。未知汝楚君肯與我同好否。 ○此處一番和緩，後復一番恐喝，霸術往往如是。
9.24	驕。
9.25	徼，求也。言我以君之惠，而得徼社稷之福，使寡君見收于君。雖爲君辱，實寡君之願也。
9.26	前猶是挾天子以令諸侯，此直是挾諸侯以令諸侯矣。宜乎其窮于屈完之對也。
9.27	方城之山，可用爲城。
9.28	江漢之水，可用爲池。
9.29	齊桓說攻說戰，何等矜張。屈完只閒閒將以德以力兩路合來，一揚一抑，又何等安雅。
9.30	「及諸侯盟」，則非專與齊盟也，與篇首關應。
10.1	僖公五年  左傳
10.2	Main|宮之奇諫假道
10.3	獻公。
10.4	扶又切。
10.5	二年，虞師、晉師伐虢，滅下陽。至是又假道以伐虢。 ○下一「復」字，便伏下「一甚可再」意。
10.6	虞賢大夫。
10.7	表，外護也。言虢爲虞之外護。
10.8	虞失外護，則必與之俱滅。 ○事急故陡作險語。通篇著眼在此。
10.9	玩。
10.10	翫，狎也。在昔爲晉，在今爲寇。在昔爲啟，在今爲翫。晉不可啓，故一爲甚。寇不可翫，故不可再也。
10.11	昌遮切。
10.12	輔，頰輔。車，牙車。言虞如牙車，如齒在裏。虢如頰輔，如脣在表。虢存，則輔車相依；虢滅，則脣亡齒寒。 ○此言滅虢正所以自滅。應「虢亡，虞必從之」句。
10.13	晉，虞，皆姬姓，故曰「吾宗」。
10.14	泰。
10.15	虞仲，卽仲雍，二人皆太王之子、王季之兄也。太王于周爲穆，穆生昭，故太王之子爲昭。
10.16	大伯不從太王翦商，與虞仲俱遜國而奔吳，是以不嗣于周。而虞仲支子，別封西吳，是爲虞之始祖。 ○此段只說虞固出于太王。
10.17	二人皆王季之子，文王之弟也。王季于周爲昭，昭生穆，故王季之子爲穆。仲封東虢，爲鄭所滅。叔封西虢，爲今虢公始祖。
10.18	王功曰勳。盟府，司盟之官。二人皆有功于王室，文王與爲盟誓之書，而藏于盟府。 ○此段乃說虢更親于虞仲。
10.19	虢比虞于晉，又近一世。晉旣滅虢，何愛于虞，而反不滅乎。 ○破「晉吾宗」句。
10.20	進一層說。
10.21	桓叔，始封于曲沃，莊伯其子也。獻公乃桓叔曾孫，莊伯之孫，言晉虞不過同宗。而桓莊之族，爲獻公同祖兄弟，實至親也。 ○倒句妙。若順寫，則將云且晉愛虞，能過于桓莊乎。
10.22	偪，貴近也。桓叔莊伯之族無罪，而獻公盡殺之。是惡其族大勢偪也。
10.23	至親而以寵勢相偪，猶尚殺害之。況虞有一國之利，獻公肯相容乎。 ○破「豈害我」句。
10.24	據，猶依也。言虞有神祐，晉雖欲害而不能。 ○寫癡人如畫。
10.25	鬼神非實親近乎人，惟有德者，乃依據之。
10.26	《蔡仲之命》篇辭。 ○「德」字引書一。
10.27	《君陳》篇辭。 ○德字引書二。
