^:<name=gwgz footnote=ck preload=true>	note
4.蒐	（sōu）：“蒐”和下文的“苗”、“狝”（xiǎn）、“狩”，分別為春夏秋冬四季狩獵的稱謂。搜索，獵取沒有懷胎的禽獸；
4.苗	獵取殘害莊稼的禽獸；
4.狝	秋獵，可殺傷禽獸；
4.狩	圍獵，不加區分，都可獵取。
4.治兵	與下文的“振旅”都是整治隊伍的意思，是古代的一種軍事演習活動。外出稱治兵，歸來稱振旅。外出時少者在前，歸來時少者在后。
4.飲至	古代的一種典禮。諸侯朝拜、會盟、征伐完畢，回到宗廟里飲酒慶賀。
4.軍實	這里指車徒器械和獵獲物。
4.昭	表明。
4.文章	這里指不同的車服旌旗。
4.登	裝入。
4.俎	古代祭祀時盛祭品的禮器。
4.皂隸	古代對賤役的稱呼。
4.矢	通“施”，陳設。
5.秋	指魯隱公十一年秋季。
5.公	指魯隱公，前722年至前712年在位。
5.齊侯	指齊僖公，前730年至前698年在位。齊國屬侯爵，姜姓。
5.鄭伯	指鄭莊公，前743年至前701年在位。鄭國屬伯爵，姬姓。
5.許	國名，又寫作鄦（xǔ），姜姓，在今河南許昌一帶。春秋時受鄭、楚等大國逼迫，多次遷徙。后被楚滅，一說滅于魏。
5.庚辰	七月一日。
5.傅	傅著，逼近的意思。
5.潁考叔	鄭大夫。
5.蝥弧	一種旗幟的名稱。
5.子都	鄭大夫公孫閼（è）。鄭師出發前，鄭莊公在宗廟分發武器，公孫閼和潁考叔曾發生過爭車事件，因此，公孫閼對潁考叔懷有仇恨。
5.瑕叔盈	鄭大夫。
5.周麾	向著四面揮舞旗幟。麾，通“揮”，召集。
5.壬午	七月三日。
5.衛	國名，姬姓，在今河南淇縣、滑縣一帶。
5.共	通“供”。
5.弗敢與聞	指魯莊公拒絕接受許國的土地事。與聞，參與聽命之事，即聽從的意思。
5.許叔	許莊公的弟弟，即后來的許穆公。
5.偏	邊境地區。
5.實	表情態的語氣副詞，下文“實逼處此”中的“實”同。
5.逞	快意。
5.一二父兄	指同姓群臣。
5.共億	相安無事。億，安。
5.弟	指共叔段。
5.獲	指公孫獲，鄭大夫。使公孫獲輔佐許大夫，實際是監管許國。
5.得沒于地	指壽終后得埋骨于地下。
5.茲	舊注“此”。按此“茲”字可能和下文“無滋他族”的“滋”字相同，是“滋長”的意思，引申為“使有機會”的意思。
5.昏媾	婚姻，這里指親戚關系。昏，通“婚”。
5.降	屈尊的意思。以尊者照顧微賤者，使尊者受屈。
5.禋祀	古代祭祀天神的一種禮儀。先燒柴升煙，再加牲體、玉帛于柴上焚燒。
5.圉	邊境。
5.聊	依恃。
5.而	通“爾”，代詞，你。
5.賄	財物。
5.先君	指鄭武公。
5.新邑	指建立新鄭的時間還不長。鄭，原在今陜西華縣，周幽王時，鄭桓公開始往東遷移。鄭武公即位后，在新鄭（今河南新鄭）建立鄭國。鄭武公到鄭莊公，僅兩代。
5.卑	衰微。
5.大岳	傳說為堯舜時候的四方部落首領，姜姓。許國也是姜姓，所以鄭莊公說它是太岳的后代。
5.胤	后代。
6.夏四月	指魯桓公二年（前710年）夏季四月。
6.郜	國名，在今山東成武東南。
6.鼎	原為炊器，多用青銅制成，一般為圓形，三足兩耳，也有方形四足的。古代統治者把鼎作為立國的重器，國家政權的象征。
6.宋	國名，子姓，在今河南商丘一帶。魯桓公二年春，宋太宰華督殺死宋殤公，為避免魯、齊等諸侯國的干涉，用郜國的大鼎賄賂魯桓公。
6.大廟	帝王的祖廟，這里指魯國始祖周公姬旦的廟。
6.臧哀伯	魯大夫，又名臧孫達。臧僖伯的兒子。
6.臨照	顯示，示范。
6.清廟	古代廟堂是祭祀祖先的地方，必須保持肅穆清凈，所以叫清廟。
6.茅屋	這里指用茅草裝飾清廟的屋頂。
6.大路	玉路，天子祭祀時用的車。路，或寫作“輅”。
6.越席	用蒲草織成席子。越，通“括”，結成。
6.大羹	古代祭祀時用的肉汁。
6.不致	不用五味（泛指各種作料）調和。
6.粢食	古代供祭祀用的各類食物。
6.鑿	動詞，細舂，將糙米加工成精米。
6.袞	古代帝王及上公的禮服。
6.冕	古代帝王、諸侯及卿大夫所戴的禮帽。
6.帶	古人束衣的革帶。
6.裳	下身衣服。
6.幅	邪幅，即綁腿布。
6.舄	古代一種不怕泥、不怕濕的復底鞋。
6.衡	衡、紞、纮、綖，古代冠冕上的四種裝飾品。衡，使冠冕固著在頭發上的橫簪。
6.紞	系瑱（冠冕上垂于兩側、用以塞耳的玉）的帶子。
6.纮	冠冕上的紐帶，由頷下挽上而系于笄的兩端。
6.綖	覆蓋在冕上的布。
6.藻率	也寫作“藻繂”。放置圭、璋等玉器的墊子，用皮革制成，上繪花紋。
6.鞞	刀鞘上的裝飾品。
6.鞛	又寫作“琫”。
6.鞶厲	古代衣服上的大帶。鞶是束腰的革帶，厲是腰帶的下垂部分。
6.游	通“旒”。旌旗下邊懸垂的裝飾品。
6.纓	馬胸前的裝飾品，即馬鞅。
6.火龍	畫在或繡在衣服上的火焰和游龍。
6.黼黻	古代禮服上繡的圖案。黑白相間，稱黼。黑青相間，稱黻。
6.五色比象	古人把車服器械上的五種顏色，象征天地四方，即所謂東青、南赤、西白、北黑、天玄、地黃；以玄色間于赤黑之間，不在正色之列，所以只稱五色。
6.物	這里指車服器械等。
6.钖鸞和鈴	古代車馬旌旗上的四種有音響的金屬裝飾品。钖，系在馬頭上。鸞，系在馬勒上。和，也是一種鈴，一說系在軾上，一說系在衡上。鈴，這里指系在旂（qí）上的鈴。
6.三辰	指日、月、星。古人把日月星畫在旗上，象征事業光輝燦爛。
6.旂旗	這里泛指旗幟。有鈴或畫交龍的，稱旂；畫熊虎的，叫旗。
6.紀	通“記”，標識。
6.象	效尤，即學壞樣子。
6.章	顯著。
6.九鼎	相傳為夏禹所鑄，后成為傳世之寶。夏朝滅亡后，殷商承受，殷商滅亡后，周武王遷九鼎于洛邑（今河南洛陽市）。后來，周成王建成王城，定鼎于此。
6.義士	指伯夷一類的人。周文王死后，周武王伐紂，伯夷叩馬相諫，后來隱居首陽山，不食周粟而死。
6.公	這里指魯桓公。
6.內史	周朝官名。相傳掌書王命之事。
6.有后于魯	指臧哀伯在魯國后繼有人。臧僖伯曾勸諫魯隱公觀魚，臧哀伯發揚其父敢于進諫的精神，又勸諫魯桓公納郜鼎于太廟事。
7.楚武王	前740年至前690年在位。楚國，羋（mǐ）姓，子爵，所以又稱楚王為楚子。西周時，立國于荊山（在今湖北），后疆土擴大到長江中游。
7.隨	西周初年分封的諸侯國，姬姓，在今湖北隨縣。
7.薳章	楚大夫。
7.成	講和。
7.瑕	春秋時隨地。
7.少師	官名。此人姓名不詳。
7.董	主持。
7.斗伯比	楚大夫。
7.漢東	漢水以東。春秋初年，楚國與隨國以漢水為界。
7.張	張大。
7.三軍	指中軍、左軍、右軍。
7.侈	狂妄自大。
7.羸師	這里指故意使軍容表現出軟弱的樣子。羸，弱。這里用作動詞，是使動用法。
7.熊率且比	楚大夫。
7.季梁	隨賢臣。
7.毀軍	損壞軍容。
7.授	給予。這里指上天給予好運氣。
7.祝	掌管祭禮的官。
7.史	掌管祭祀時記事的官。
7.正辭	祝辭不虛妄，符合實際。
7.公	指隨侯。
7.牲	這里指祭祀用的牲畜。
7.牷	毛色純一的牲畜。
7.腯	肥壯。
7.粢盛	裝在祭器內用于祭祀的谷物。
7.瘯蠡	牲畜病名，即疥癬。
7.三時	指春夏秋三季農忙季節。
7.醴	甜酒。
7.栗	谷實不秕，稱栗。
7.馨香	散布很遠的香氣。
7.讒	誣陷他人的壞話。
7.慝	邪惡。
7.五教	指儒家所宣揚的五種倫理道德標準，即父義，母慈，兄友，弟恭，子孝。
7.九族	說法不一。一般指從高祖到玄孫九代。
7.禋祀	古代祭天神的一種禮儀，先燒柴升煙，然后再加牲體及玉帛于柴上焚燒。這里泛指祭祀。
8.齊師	齊國的軍隊。
8.我	指魯國。這里用的是魯國史官的口氣。相傳《左傳》的作者是魯國的左丘明。
8.公	指魯莊公，前693年至前662年在位。
8.曹劌	魯國人。有的古書認為就是《史記·刺客列傳》中的曹沬。
8.鄉人	同一個鄉的人。鄉是古代的一種地方行政單位，相傳周制以一萬二千五百戶為鄉。
8.肉食者	吃肉的人，指有權位的上層人物。
8.間	參與。
8.焉	兼詞，相當于“于此”。
8.專	獨享。
8.犧牲玉帛	都是古代祭祀用的物品。犧牲，指牛羊豕之類。玉，玉器。帛，絲織品。
8.孚	大信，使人深信不疑。
8.忠	忠誠，忠于職守。
8.屬	類。
8.長勺	魯地名，在今山東萊蕪東北。
8.視	細看。
8.轍	車輪碾過的痕跡。
8.軾	古代車廂前面供人手扶的橫木。
8.再	兩次。
8.竭	這里指士氣沒有了。
8.盈	這里指士氣正旺盛。
9.春	指魯僖公四年（前656年）春季。
9.齊侯	指齊桓公，前685年至前643年在位。齊屬侯爵。
9.諸侯之師	指魯、宋、陳、衛、鄭等國的軍隊。
9.侵	不宣而戰。
9.蔡	國名，在今河南汝南、上蔡、新蔡一帶。蔡是楚的盟國。
9.楚	國名，主要地域在今湖北、湖南、安徽一帶。當時國都在郢（今湖北江陵）。
9.楚子	指楚成王，前671年至前626年在位。楚屬子爵。
9.北海	古人稱渤海為北海，齊臨渤海。
9.南海	楚境不到南海，這里是泛指，表示與齊相隔很遠。
9.唯	語氣詞。
9.風	放牧。這句的意思是，楚與齊相距甚遠，馬牛即使走失，也不會誤入對方境內。一說，風是雌雄相誘的意思。
9.虞	料想。
9.涉	這里是進入的意思。
9.管仲	名夷吾，字仲。春秋時期著名的政治家，輔佐齊桓公進行改革。
9.召康公	周文王庶子姬奭（shì）封于召（初封地在今陜西岐山縣西南）。康是他的謚號。召公與周公為周王室世卿。
9.先君	對本國已故君主的稱呼。
9.太公	即姜太公呂尚，齊國的始祖，因輔佐周文王、武王滅商有功，封于齊。
9.五侯九伯	此處泛指所有的諸侯。五侯，指五等爵位，即公、侯、伯、子、男；九伯，指九州之長。
9.實	句中語氣詞。
9.征	討伐。
9.履	指所踐履的地區，即權力可以達到的范圍。
9.海	泛指東部大海，包括渤海、黃海。
9.河	黃河。當時黃河流經齊國的西境，在今河北滄縣東北入海，和現在的河道不同。
9.穆陵	齊地名，即今山東臨朐（qǔ）縣南的穆陵關。
9.無棣	齊地名，在今山東無棣縣一帶。
9.包茅	成捆的菁茅。菁茅是楚地的特產，楚國應向周王進貢，供祭祀時用。
9.共	通“供”，供給。
9.縮酒	祭祀時以茅濾酒去滓。
9.昭王	周昭王，成王的孫子，名瑕。
9.征2	遠行。相傳昭王巡行南方，渡漢水時乘坐一只用膠粘起來的船，行至江中，船壞而死。
9.次	軍隊駐扎。
9.陘	山名，在今河南偃城南。
9.屈完	楚大夫。
9.召陵	楚地名，在今河南郾城東。
9.不谷	不善，國君自稱的謙詞。
9.徼	求。
9.敝邑	對自己國家的謙稱。
9.社稷	社是土地神，稷是谷神。祭祀社稷的地方也稱社稷。當時建立國家，必立社稷，所以社稷就成為國家的象征。
9.綏	安撫。
9.方城	楚山名，在今河南葉縣南。春秋時楚筑長城，即經此山東麓。
10.晉侯	指晉獻公，前676年至前652年在位。
10.假道	借路。這里指軍隊借路通過。僖公二年（前658年），晉曾向虞借路伐虢，這是第二次，所以說“復假道”。
10.虞	國名，在今山西平陸北。
10.虢	國名，這里指的是北虢，主要地域在今山西平陸南。
10.宮之奇	虞大夫。
10.表	外表，這里是屏障的意思。
10.謂	通“為”。
10.輔	面頰。
10.車	牙車，即牙床骨。
10.晉，吾宗也	晉、虞都是姬姓，原為同一祖先。當時晉的地域主要在今山西西南部。
10.大伯、虞仲	都是周太王的兒子。
10.大王	周太王，周朝的先王，名古公蚮（dǎn）父。
10.昭	昭和下文的“穆”都是指宗廟里神主的位次。始祖的神主居中，其余分列左右，昭在左，穆在右。父子異列，祖孫同列。太王為穆，其子為昭。
10.大伯不從	事實是太伯知道其父要傳位給幼弟王季，就和虞仲一起出走，所以沒有嗣立。
10.王季	周文王的父親。
10.卿士	又作“卿事”、“卿史”，周王室的執政大臣。
10.盟府	掌管盟約、典策的官府。
10.桓、莊	桓叔、莊伯，晉獻公的曾祖和祖父。桓、莊之族，指獻公的同祖兄弟各支。魯莊公二十五年（前669年），晉獻公盡誅同族諸公子。
10.實	指示代詞，復指提前的賓語“人”。
10.《周書》	這里所說的《周書》早已亡佚，下面兩句見于今本偽《古文尚書·蔡仲之命》篇。
10.黍	黃黏米。
10.稷	粟（谷子）。
10.繄	語氣詞。這兩句見于今本偽《古文尚書·旅獒（áo）》，“民”作“人”，“繄”作“其”。
10.馮	通“憑”，憑依。
10.薦	獻、進。
10.臘	臘祭，年終合祭眾神。
10.館	賓館，這里作動詞用，即借住。
11.會于葵丘	魯僖公九年（前651年）夏季，魯僖公、周天子使臣宰孔、齊桓公、宋襄公、衛文公、鄭文公、許僖公、曹共公在葵丘盟會。葵丘，宋地名，在今河南蘭考。
11.尋	通“燖”（xún），把冷了的東西重新溫一溫。這里指重申過去的盟約。
11.王	這里的“王”和下文的“天子”都指周襄王。
11.宰孔	宰，官名；孔，人名。周天子使臣。
11.齊侯	指齊桓公姜小白。
11.胙	祭祀時用的肉。根據周禮，天子祭祀社稷宗廟時用的肉，只賞賜給同姓諸侯。齊是姜姓國，不應受賞。周襄王賜給齊桓公祭肉，這是表示對齊國的一種特殊禮遇。
11.有事于文武	指祭祀周文王、周武王事。
11.伯舅	周王室與異姓諸侯通婚，所以尊稱他們為伯舅。
11.耋	老。年七十稱耋。
11.違	離開。
11.咫尺	比喻距離很近。咫，八寸。
11.隕越	倒下去。
11.下，拜，登，受	臣屬領受天子賞賜時的四種動作。下階，再拜稽首（叩頭至地），然后登堂，受賜。
12.十月	指魯僖公十五年（前645年）十月。
12.晉	國名，姬姓，在今山西西南部。^note「晉」原書誤作「戎」
12.陰飴甥	戎大夫。復姓瑕呂，名飴甥，封于陰（今河南陜縣至陜西商縣一帶），因此又稱陰飴甥。
12.秦伯	指秦穆公，前659年至前621年在位。秦穆公曾攻滅十二國，稱霸西戎，當時秦國疆域包括今陜西中部和甘肅東南部。
12.王城	秦地名，在今陜西大荔東。
12.圉	晉惠公太子姬圉。
12.秦命	指秦國釋放晉惠公的命令。
12.我毒秦	指下面一些事件，晉惠公在秦時曾和秦國定約，如果秦國幫助他進入晉國做了國君，就割黃河以西五個城邑給秦國，但晉惠公在秦國幫助下做了國君以后，便廢棄前約。又晉國曾兩次發生饑荒，秦國都給晉國運去了大量糧食，但當秦國發生饑荒，到晉國來糴糧時，晉國不僅拒不賣給，反而乘人之危，出兵攻打秦國。毒，對人苛酷無情。
12.貳	二心，背叛。
12.舍	釋放。
12.納	進入。這里指秦穆公幫助晉惠公入國做國君事。
12.其	語氣詞，表示一種推測的語氣。
12.饋	贈送。
12.七牢	古代招待諸侯的禮節。牛羊豕各一，為一牢。
13.楚人伐宋以救鄭	宋襄公為了和楚成王爭霸，于魯僖公二十二年夏季，出兵攻打當時依附于楚國的鄭國，楚國為援救鄭國，便出兵攻打宋國。
13.宋公	指宋襄公，前650年至前637年在位。
13.大司馬	官名，掌管軍政。當時宋襄公的庶兄子魚任此職。
13.天之棄商久矣	宋國是商朝的后裔。從公元前11世紀商朝滅亡到宋襄公時，中間經歷四百多年。古人認為一個國家和部族的興衰是由天意決定的。
13.也已	句末語氣詞連用，表示一種直陳、肯定的語氣。
13.泓	水名，故道在今河南柘（zhè）城西北。
13.陳	通“陣”。軍隊作戰時擺開陣勢，這里用作動詞。
13.門官	古時保衛國君的近衛軍官，平時守門，戰時跟隨國君。
13.重傷	對已經受傷的人再加傷害。
13.禽	通“擒”。
13.二毛	指頭發花白的人。
13.亡國之余	宋國君主是商王的后裔，而商朝早已在公元前11世紀就滅亡了，所以宋襄公這樣說。
13.鼓	這里用作動詞，鳴鼓進攻的意思。古代打仗，擊鼓表示進攻。
13.勍	強勁有力。
13.胡耈	年老的人。
13.如	不如，下句“如”用法同。
13.三軍	春秋時大國一般設置三軍，稱為中軍、左軍和右軍。這里泛指軍隊。
13.金鼓	古時作戰用鼓聲來鼓舞士氣，表示進擊；鳴金表示收兵。
13.儳	混亂。
14.呂、郤	即呂甥、郤芮（ruì），都是晉惠公、晉懷公的舊臣。
14.晉侯	指晉文公重耳。
14.寺人披	即勃鞮。寺人，即后世所說的宦官。披，人名。
14.見	謁見。
14.蒲城之役	晉獻公聽信驪姬讒言，逼死太子申生之后，又想捕捉公子重耳和夷吾，然后使驪姬的兒子奚齊繼承君位。魯僖公五年（前655年），晉獻公使寺人披攻打重耳居住的蒲城（今山西隰縣西北），逼令重耳自殺，重耳逾墻逃走。
14.女	通“汝”。下文中“女”同。
14.狄	春秋時居住在北方的少數民族。
14.田	也寫作“畋”。打獵。
14.渭	渭河。
14.為惠公來求殺余	晉獻公死后，公子夷吾繼位，即晉惠公。晉惠公六年（前645年），派寺人披到狄國去謀殺重耳，由于重耳事先得知消息，謀殺未成。
14.祛	衣袖。寺人披在蒲城追捕晉文公時，曾把他的衣袖割斷。
14.齊桓公置射鉤而使管仲相	魯莊公九年（前685年），魯國幫助齊國公子糾和齊桓公小白爭君位，戰于乾時（在今山東臨淄東南）。管仲當時輔佐公子糾，在戰爭中射中齊桓公的衣帶鉤。后來齊桓公聽從鮑叔牙的勸說，不念舊惡，仍然重用管仲。置，棄。這里是擱置的意思。
14.刑臣	寺人披受過宮刑，所以這樣自稱。
14.秦伯	指秦穆公。
14.王城	在今陜西大荔東。
14.己丑	三月二十九日。
14.晦	陰歷每月的最后一天。
15.晉侯	指晉文公，前636年至前628年在位。
15.介之推	又稱介推，春秋時晉國貴族。曾跟隨晉文公流亡國外。
15.祿	祿賞，賞賜。
15.懟	怨恨。
15.綿上	晉地名，在今山西介休東南。
16.我	指魯國。相傳《左傳》為魯國史官左丘明所編纂，所以這里采取了這種口氣。
16.鄙	邊疆。
16.公	指魯僖公，前659年至前627年在位。
16.展喜	魯大夫。
16.犒師	慰勞軍隊。師，這里指前來攻伐魯國的齊國軍隊。
16.展禽	姓展，名獲，字禽，謚號惠。因食邑于柳下，所以又稱柳下惠。展喜是他的弟弟。
16.竟	通“境”。這里指魯國國境。
16.舉玉趾	尊稱別人行止的敬詞。趾，指腿腳。
16.辱于敝邑	謙詞。意思是您到我國來，是使您蒙受恥辱的事情。敝邑，對自己國家的謙稱。
16.執事	古代指君主左右辦事的人。這里是對齊孝公的敬稱。
16.君子	這里指有地位的人。
16.懸罄	形容空無所有，貧窮之極。罄，樂器，中間空虛。
16.周公	指周武王之弟周公姬旦。曾輔助武王滅商。武王死后，成王年幼，由他攝政。他的長子伯禽是魯國的始祖。
16.大公	指齊國始祖呂望，也稱姜太公。在建立和鞏固周王朝的過程中，周公和姜太公都建立了很大的功勛。
16.股肱	這里比喻帝王左右的得力大臣。股，大腿；肱（gōng），胳膊。
16.載	載書，指盟約。也稱盟書。
16.盟府	古代掌管盟約的官府。
16.太師	應為太史，官名，掌管國家典籍。
16.職	掌管。
16.桓公	指齊桓公，前685年至前643年在位。
16.率	遵循。
16.桓	指齊桓公。
16.嗣世九年	指齊孝公從魯僖公十八年（前642年）即位，到魯僖公二十六年（前634年）這九年時間。
16.先君	指齊太公、齊桓公。
17.晉侯	指晉文公。
17.秦伯	指秦穆公。
17.鄭	國名，姬姓，在今河南中部。
17.以	因。
17.無禮	晉文公為公子時曾流亡各諸侯國，經過鄭國時，鄭文公沒有以禮相待。
17.貳	兩屬，這里是依附的意思。
17.軍	作動詞用，駐扎。
17.函陵	地名，在今河南新鄭縣北。
17.氾	水名，指東氾，早已淤塞，故道在今河南中牟縣南。
17.佚之狐	鄭大夫。
17.鄭伯	指鄭文公，前672年至前628年在位。
17.縋	系在繩子上放下去。
17.執事	敬詞，左右辦事的人，這里實際是指秦穆公本人。
17.鄙	邊疆。
17.東道主	東路上的主人。鄭在秦東，故可以招待秦國過往使者。
17.行李	外交使者。
17.共	通“供”。
17.乏困	指食宿方面的不足。
17.賜	恩惠，指秦國支持晉惠公、晉文公取得君位的往事。
17.焦、瑕	晉國二邑名，都在今河南陜縣附近。
17.濟	渡河，指晉惠公渡河歸國事。
17.版	打土墻用的夾版。這里指版筑防御工事。晉惠公為報答秦君，曾許給秦國焦、瑕二地，但回國后馬上賴賬了。
17.封	疆界。這里作動詞用，即“以……為疆界”的意思。
17.肆	放肆，指極力擴展。
17.闕	損害。
17.說	通“悅”。
17.杞子、逢孫、楊孫	三人都是秦大夫。
17.子犯	即狐偃，晉文公的舅父。
17.微	沒有。
17.夫人	指秦穆公。
17.敝	損害。
17.所與	同盟者，與國。
17.知	通“智”。
17.亂	這里是分裂混亂的意思。
17.易	代替。
17.整	這里是聯盟的意思。
17.武	英武，與“仁”一樣，都是當時抽象的道德觀念。
18.杞子	秦大夫。僖公三十年，秦穆公與鄭人訂立盟約以后，派杞子等三位大夫留守在鄭國。
18.管	鑰匙。
18.蹇叔	秦國元老。
18.無乃	恐怕，表示委婉的語氣詞。
18.悖	怨恨。
18.孟明、西乞、白乙	三人都是秦國的將領，即百里視（字孟明）、西乞術、白乙丙。
18.中壽	六十歲左右，此時蹇叔已七八十歲，過了中壽。
18.木拱	樹木已有兩手合抱那么粗了。
18.殽	通“崤”（yáo），山名，在今河南洛寧西北，地勢險要。
18.二陵	指南陵和北陵，相距三十五里。陵，大山。
18.夏后皋	夏朝帝王，名皋，夏桀的祖父。
19.晉侯	指晉靈公，前620年至前607年在位。
19.扈	鄭地名，在今河南原陽縣。
19.平宋	平息宋國內亂。
19.鄭伯	指鄭穆公，前627年至前606年在位。
19.貳	二心。指鄭國對晉懷有二心，而同楚親近。
19.子家	鄭公子歸生，字子家。鄭國執政大臣。
19.執訊	負責通訊、聯絡的官。
19.書	信。
19.趙宣子	即趙盾，晉國執政大夫。
19.三年	指鄭穆公即位的第三年（前625年）。
19.蔡侯	指蔡莊公。
19.君	指晉襄公，前627年至前621年在位。
19.侯宣多	鄭大夫。因援助鄭穆公即位有功，恃寵專權。
19.偕	同行。
19.克減	稍稍平定。克，勝。減，損。
19.執事	指侍從左右的人。用以代稱對方，表示尊敬。這里實際指晉襄公。
19.嫡	嫡子，正妻所生的長子。
19.夷	鄭國太子名，即后來的鄭靈公。
19.陳共公	前631年至前614年在位。陳共公要去朝見晉國，又擔心楚國不高興，所以歸生輔助鄭太子夷為他請命于楚國。
